,look_back,hidden_nodes,output_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
10,3,5,1,500,20,60,32920.887,141.215,181.441,50.64426650829613,103.28879236489534,136.08600214201212,142.39584725064037,133.4104583991766,120.58803990072012,111.91499579760432,109.19929460656643,110.72813689506053,113.64509024691581,115.92239530733227,116.83291750046611,116.64885574945806,116.00456988295912,115.42768576526642,115.14874550494551,115.14585137915611,115.28136387947201,115.4234782410264,115.50366528448463,115.51632272619008,115.48961308336257,115.45561582258343,115.4335902467966,115.42761602729558,115.43234658631683,115.44023860001563,115.44606172057986,115.44820035168529,115.44752621796727,115.44574789971112,115.44426015633344,115.44358602261543,115.44363251459598,115.44401607343553,115.44438800927996,115.44458560019731,115.44459722319245,115.44451586222648,115.44443450126052,115.44437638628483,115.44436476328968,115.44437638628483,115.44441125527024,115.44442287826537,115.44443450126052,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537,115.44442287826537
11,3,6,1,500,20,60,32822.239,142.792,181.169,52.63074679586291,106.46157946273684,140.4876420238316,147.68353129783273,139.27749063903093,126.56450263980031,117.63032470491528,114.48195751985907,115.63973568856716,118.3783225570321,120.67456147652864,121.71686518853902,121.67541758787631,121.1178392651081,120.55701812669635,120.24633546665311,120.19854171064496,120.30162605452537,120.43275668567418,120.51876684969663,120.54393063417076,120.52779791691898,120.49858933013677,120.47605234256386,120.4669282913804,120.46850901871919,120.47465758314728,120.4802947357893,120.48314236959814,120.4833399605155,120.48214279201626,120.48079452458023,120.47998091492056,120.47979494699835,120.48000416091084,120.48031798177956,120.48052719569206,120.48059693366288,120.4805736876726,120.48051557269692,120.48045745772123,120.48042258873582,120.48042258873582,120.48043421173095,120.48044583472608,120.48045745772123,120.48045745772123,120.48046908071636,120.48046908071636,120.48045745772123,120.48045745772123,120.48045745772123,120.48045745772123,120.48045745772123,120.48045745772123,120.48045745772123,120.48045745772123,120.48045745772123,120.48045745772123,120.48045745772123
12,6,3,1,500,20,60,32250.938,141.921,179.585,-75.20581711234152,27.079515590295195,119.1888637459874,172.67193639832735,211.97946470421553,206.51853991448877,196.67551349776983,151.40580711382626,103.04691783607005,71.18171535860002,57.88901885385811,68.16108489011228,88.48239252282679,116.0234107580781,140.5149909313917,154.07500470131635,155.10236124157905,144.46171840649842,128.4935362738967,112.3264846944809,100.83531756716967,96.87209125046432,100.26176924908161,108.95135287427902,119.24367779105901,127.80933704209328,132.36731783151626,132.18409293615818,128.1313404994011,122.04200685453415,116.12283385848998,112.13475176668166,110.95845816671847,112.48498747918009,115.7961812031269,119.5990159984231,122.6580023508668,124.17096762800216,123.93831013432144,122.32056355601549,120.03929505425691,117.8945037614107,116.51279696837067,116.18527258837223,116.83530021446943,118.10343872201442,119.50268461471795,120.5878539327979,121.08290054172276,120.93626483505963,120.29925496351719,119.4463595802784,118.67168695431947,118.19660865104198,118.11503847116231,118.38606347179412,118.86891755881905,119.38215415513515,119.76541079682112,119.92434363234042
13,6,4,1,500,20,60,32278.372,141.616,179.662,-80.12085631240905,23.29052378220856,116.81673829123378,171.59053293067217,212.274688780725,207.4031660744548,198.62459679847956,152.22669276845454,102.01158792114258,68.47046577470005,54.09964348693192,64.33510871149599,85.16812451666593,114.04224799078702,140.08900815957784,154.81578467345238,156.2789105474353,145.21377268391848,128.2876232920289,110.90592222869395,98.35543532449006,93.82815667672455,97.28289439062773,106.60181089907884,117.80626198232173,127.25833733457327,132.40241927683354,132.35030176663398,127.98176417496799,121.27282028228043,114.66268347126245,110.1362009986639,108.72448363217711,110.35724712020158,114.04292212450504,118.34140792447329,121.84801906567812,123.62705794751643,123.41835544681548,121.60458705550431,118.99536412292719,116.50843834519385,114.87808081716298,114.46059445479511,115.18704327392578,116.65321437263488,118.29529950276017,119.58746274125575,120.19446203935146,120.04263085386157,119.30023528540134,118.2873609970808,117.35459239125251,116.77172243106365,116.65900262421368,116.97491563206911,117.55467062956095,118.18003425997495,118.65415947765112,118.85770136851072
14,6,5,1,500,20,60,32116.644,140.269,179.211,-78.54988647803664,22.185522728674112,112.72365406134725,166.12626071834563,206.0253762307763,201.55475387281177,193.79037228360772,150.07447438171505,102.82654584825039,70.97257699558139,56.851149314492936,65.86733910307288,84.67342659759521,111.10346665406226,135.07455748209355,148.8906955728829,150.77736338970064,141.24167221042512,126.3158286588192,110.7840667476654,99.39580961930751,95.01381259927153,97.6469207868576,105.51945434582233,115.17938372012972,123.47465723526477,128.15921244174243,128.4163479631841,124.94758129414916,119.3890233452618,113.79455034139752,109.85065887710452,108.46046729761362,109.61225962382555,112.52158829087018,116.02138835692405,118.95509044477343,120.53573642259836,120.51789512506127,119.17751970273255,117.14384424340724,115.14559567326307,113.77844087013602,113.34677445369958,113.82160867407917,114.90632469534873,116.17065086048841,117.2037607833445,117.73393208357692,117.6869751832187,117.17504036235809,116.43105244356393,115.71840011966228,115.24621594217419,115.1157943137288,115.30836409717797,115.71114737069607,116.16721045392751,116.5302547070682,116.70683124920726
15,6,6,1,500,20,60,32090.093,140.71,179.137,-73.73345676872134,27.054906803838907,116.1060270075202,167.5129072843194,205.5881191536784,200.87876047557592,192.33614962390064,149.48291042116284,103.9420046916604,73.85702083003521,60.98770354619622,69.97738128286599,88.15695447045564,113.29853902387619,135.82240423527358,148.54367943003774,149.98740652513504,140.8642968042791,126.87447629714012,112.48977615317702,102.07172529798746,98.18838963836431,100.75298026961087,108.04324826413392,116.86715884414315,124.36095710653066,128.52666181004048,128.67878357040883,125.49870885461569,120.49131333518028,115.5043277952075,112.02836649218202,110.83829964298009,111.89319105872511,114.47728507581353,117.55222980058193,120.10598780035973,121.46308871269225,121.42667386892437,120.25161230644584,118.49157702165841,116.77681330293416,115.61446729713678,115.25665339180827,115.66947893312573,116.59392547443508,117.66246228647232,118.52906118097901,118.9689683009684,118.92499851036071,118.49526151111722,117.87649974194169,117.28762069326639,116.90023788830638,116.79525899621844,116.95467999753356,117.2842151556909,117.6550584385693,117.94863204976916,118.09035122948885
16,8,3,1,500,20,60,21878.242,111.867,147.913,-76.17866761690378,-208.7095907279849,-114.0697712432742,113.35937378042937,266.0963160354495,329.0255363125205,326.408037807405,266.77054273742436,212.93678107577563,167.3386320952177,79.06713300767541,-20.796444050967693,-72.65397109526396,-58.15049556398392,10.96796381266415,103.31188725623488,178.73193360346554,223.4885777360201,245.71346464347837,243.50955879735946,210.92072607707976,152.18482673996687,82.94273937553167,25.966799773737787,0.5377669275552034,10.267684167087078,45.13693400473147,92.58124175830184,141.5534009400308,182.23397690758108,205.93190410387515,206.3139984460473,182.7260596527457,142.58771965438126,98.7278128427267,63.57394200588762,45.16160381191224,46.024303191550075,64.04878784926235,93.89269916872679,127.96912997925281,157.58191804039478,175.09322712251543,176.4207358892262,162.29391513839363,137.66875188195704,109.77006502881646,85.82333599859476,71.3656550681591,69.28741704547404,79.38904348102211,98.46824811530112,121.13629658138751,141.306098472476,153.9185824327469,156.28088645660875,148.56993577605485,133.48277667492627,115.32056824207305,98.83033928284048
17,8,4,1,500,20,60,21571.311,111.305,146.872,-76.7711497940719,-209.6744620463848,-113.51894588068127,115.40886813613771,268.8736307237148,332.4176609516144,329.7384210963249,269.3863442852497,214.79536773633956,167.9229433068037,77.72823370572924,-23.52798738437891,-75.62291410437226,-60.33897769555449,10.44071569570899,104.76203024464846,181.82170927003025,227.73575963544846,250.47150042521952,247.77147865462302,213.67077321875095,152.81853568089008,81.44160049594939,22.97884154458344,-2.85208541598916,7.552668732762337,43.92623924490809,93.36138300347328,144.34889399269224,186.56067171674965,210.88892556238173,210.79147837114334,185.73174294948578,143.56649207496642,97.69420313107968,61.05713931915164,42.04075116209685,43.30280503168702,62.6139058534652,94.30334539845586,130.3049103282094,161.40874269765615,179.58516605356334,180.59836578574775,165.29404264345766,138.96472746285795,109.28895439106225,83.94397323422133,68.8111648196876,66.93758449539541,78.05136459356547,98.66685023322701,122.97940141242742,144.47006371700763,157.74926592439414,159.97741733837128,151.39592756795884,134.95052850097417,115.30613248211145,97.59391992902755
18,8,5,1,500,20,60,21122.766,109.725,145.337,-81.1050973522067,-212.52437396228314,-115.02208972692489,114.05345255810022,269.212487523973,335.7120362015962,333.70497740113734,270.4094468092918,211.49580863052606,159.72196715122462,67.66376017414034,-31.866812262296676,-81.04582007700205,-62.97021458092332,11.00083945441246,109.05864474239945,189.17006899425385,235.9604467011094,255.9485811781883,247.61122079765795,207.55254480797052,142.59484455040098,69.69130450353026,12.0765360314548,-10.919734194338321,3.898462987795472,45.65757735469937,100.0620629466176,153.8070133024156,195.47192910522222,216.18622182655332,210.7098849452734,180.13954805266857,133.68895698568224,85.6219094928503,49.360221931904555,33.323498996973036,39.52871390336752,64.4216128528118,100.71044010740518,139.01445063605905,169.57543101757764,184.66986611366272,180.9836564515829,160.58599736380577,130.03576825278998,98.07708783692121,72.99001513069868,60.585024879634375,63.138445812553165,79.13318648904561,103.75916335514188,130.19373637971282,151.44763827332852,162.27711991041897,160.532601324141,147.51291735219954,127.32856347119808,105.61285673475265,88.00176423937081
19,8,6,1,500,20,60,21834.589,111.567,147.765,-77.83821048572659,-211.990692517519,-116.69613809368013,113.06703220671415,267.1120030885935,330.41748296427727,326.9164973527193,265.03450893759725,209.84982979702949,164.07081538912652,75.69508128118515,-24.199587289452552,-75.3453569804728,-59.495206363499165,11.51279752126336,105.75021729129553,181.7631293745339,225.54319783258438,245.92019123500583,241.68135464608667,207.33638034439085,147.48104709953068,77.87056890419126,21.402292672544718,-2.473262946948409,9.529972665667534,46.636343963786956,95.54351897969842,144.78023496526478,184.5273217012882,206.46221488004923,204.74036113429068,179.16471582743526,137.62198094952106,93.34072894111276,58.91404498359561,42.204600524559616,45.256665383398534,65.31685661883652,96.49124056877196,130.88991891950369,159.78482430893183,175.74699735304713,175.09273895671964,159.0598516101837,133.10710984906552,104.81507759445905,81.50019201444088,68.49772750979662,68.28023802477121,80.14708941243589,100.44750471138954,123.50120415616036,143.14654163762927,154.48090293753145,155.16108061301708,145.81614602994918,129.57232456764578,111.0183630836606,94.97428279280662
